DATA,HORA,CONCESSIONARIA,RODOVIA,KM,SENTIDO,LATITUDE,LONGITUDE,CLASSE,SUBCLASSE,CAUSA_PROVAVEL,VITIMA_ILESA,VITIMA_LEVE,VITIMA_MODERADA,VITIMA_GRAVE,VITIMA_FATAL,VEICULOS_ENVOLVIDOS,MUNICIPIO,REGIAO_ADMINISTRATIVA,REGIONAL_DER,JURISDICAO
2020-01-02,14:12:00,L06-INTERVIAS,SP330,179.9,NORTE,-22.26568985,-47.3909111,COLISÃO,COLISÃO-TRASEIRA,IMPRUD. CONDUTOR,4,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,ARARAS,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,17:32:00,L01-AUTOBAN,SPM330D,99.95,NORTE,-22.88070171,-47.11736609,ENGAVETAMENTO,ENGAVETAMENTO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|NÃO INFORMADO=2,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-02,17:34:00,L06-INTERVIAS,SP330,191.5,SUL,-22.16614914,-47.39965057,COLISÃO,COLISÃO-TRASEIRA,IMPRUD. CONDUTOR,3,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,LEME,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,18:51:00,L01-AUTOBAN,SP330,149.7,SUL,-22.53243004,-47.38517366,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,LIMEIRA,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-02,21:00:00,L01-AUTOBAN,SP330,12.86,NORTE,-23.50808619,-46.73915037,TOMBAMENTO,TOMBAMENTO-MOTO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=2|MOTO=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-02,22:16:00,L01-AUTOBAN,SP330,88.0,SUL,-22.96619255,-47.05355823,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,2,0,0,0,AUTOMÓVEL=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-02,22:50:00,L01-AUTOBAN,SP330,23.62,NORTE,-23.43827098,-46.7865131,CHOQUE,CHOQUE-VEÍCULO PARADO NA PISTA,NÃO INFORMADO,0,0,0,1,0,CARRETA=1|UTILITÁRIO=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-02,23:12:00,L01-AUTOBAN,SP330,23.58,NORTE,-23.43866374,-46.78653692,CHOQUE,CHOQUE-VEÍCULO PARADO NA PISTA,NÃO INFORMADO,0,2,0,0,0,AUTOMÓVEL=1|CARRETA=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-03,00:35:00,L01-AUTOBAN,SP330,34.2,NORTE,-23.3743956,-46.8410856,CHOQUE,CHOQUE-VEÍCULO PARADO NO ACOSTAMENTO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|VIATURA CONCESSIONÁRIA=1,CAJAMAR,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-03,00:44:00,L01-AUTOBAN,SP330,14.8,NORTE,-23.50129239,-46.75355549,CHOQUE,CHOQUE-POSTE,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-03,02:46:00,L01-AUTOBAN,SP330,61.7,SUL,-23.17076144,-46.92424089,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,0,0,0,0,UTILITÁRIO=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-03,06:54:00,L01-AUTOBAN,SP330,21.5,NORTE,-23.45686622,-46.78394794,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-01-03,11:42:00,L01-AUTOBAN,SP330,118.0,SUL,-22.76903417,-47.24156499,CHOQUE,CHOQUE-PRAÇA MANUAL-(ENTRE VEÍCULOS),NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=2,NOVA ODESSA,CAMPINAS,RIO CLARO,ESTADUAL
2020-01-03,14:57:00,L01-AUTOBAN,SP330,97.2,SUL,-22.90275231,-47.10846733,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-03,17:09:00,L01-AUTOBAN,SP330,83.27,NORTE,-23.00337373,-47.02927832,TOMBAMENTO,TOMBAMENTO-MOTO,NÃO INFORMADO,0,1,0,0,0,MOTO=1,VALINHOS,CAMPINAS,CAMPINAS,ESTADUAL
2020-01-03,21:20:00,L29-VIAPAULISTA,SP330,281.0,NORTE,-21.41406631,-47.66450119,CHOQUE,CHOQUE-CANCELA DE PEDÁGIO-MANUAL,FALHA DE EQUIP. PEDÁGIO-PISTA AVI,1,0,0,0,0,CAMINHONETE=1,SÃO SIMÃO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-01-03,21:20:00,L29-VIAPAULISTA,SP330,281.0,NORTE,-21.41406631,-47.66450119,CHOQUE,CHOQUE-CANCELA DE PEDÁGIO-MANUAL,FALHA DE EQUIP. PEDÁGIO-PISTA AVI,1,0,0,0,0,CAMINHONETE=1,SÃO SIMÃO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-01-03,21:32:00,L28-ENTREVIAS,SP330,393.0,SUL,-20.4783806636,-47.8415741359,CHOQUE,CHOQUE-DEFENSA METÁLICA,FATOR-HUMANO,2,0,0,0,0,AUTOMÓVEL=1|ÔNIBUS=1,GUARÁ,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-01-04,00:52:00,L29-VIAPAULISTA,SP330,289.95,SUL,-21.35719299,-47.72285843,CHOQUE,CHOQUE-ELEMENTO DE DRENAGEM,IMPRUD. CONDUTOR-DORMIR AO VOLANTE,1,0,0,0,0,AUTOMÓVEL=1,CRAVINHOS,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-01-04,08:02:00,L28-ENTREVIAS,SP330,373.0,SUL,-20.6455441076,-47.8807651795,OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA VEÍCULO,OBJETO LANÇADO-TERCEIROS,1,0,0,0,0,AUTOMÓVEL=1,ORLÂNDIA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-01-04,10:53:00,L28-ENTREVIAS,SP330,384.2,SUL,-20.5514564817,-47.8607044458,ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL-DOMÉSTICO PEQUENO PORTE,ANIMAL NA RODOVIA,1,0,0,0,0,AUTOMÓVEL=1,SÃO JOAQUIM DA BARRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-01-04,11:10:00,L06-INTERVIAS,SP330,216.0,SUL,-21.94910049,-47.46269989,OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA VEÍCULO,OBJETO LANÇADO,2,0,0,0,0,AUTOMÓVEL=1,PIRASSUNUNGA,CAMPINAS,RIO CLARO,ESTADUAL
