DATAHORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2021-01-01 00:13:00,0.3,8.2,15.8,51
2021-01-01 02:34:00,0.0,6.1,18.0,3
2021-01-01 06:37:00,0.0,1.8,3.2,2
2021-01-01 08:06:00,0.4,6.4,12.2,51
2021-01-01 09:00:00,0.5,4.2,19.1,53
2021-01-01 13:08:00,0.0,7.6,22.0,3
2021-01-01 13:45:00,0.0,7.3,20.5,3
2021-01-01 20:18:00,0.2,5.2,10.8,51
2021-01-01 22:03:00,0.1,4.2,7.9,51
2021-01-01 23:27:00,0.0,9.8,20.2,0
2021-01-02 02:57:00,0.0,5.1,9.4,1
2021-01-02 04:52:00,0.0,5.1,10.1,1
2021-01-02 15:03:00,4.6,16.7,32.8,63
2021-01-02 18:49:00,0.1,18.1,41.0,51
2021-01-02 20:28:00,0.0,12.9,32.4,3
2021-01-03 03:20:00,0.0,13.0,22.7,0
2021-01-03 06:31:00,0.0,6.4,11.5,0
2021-01-03 17:29:00,0.0,10.8,26.3,1
2021-01-03 22:20:00,0.0,11.4,21.2,0
2021-01-03 22:45:00,0.0,6.9,14.0,1
2021-01-03 23:06:00,0.0,9.5,18.0,0
2021-01-03 23:51:00,0.0,9.2,20.5,0
2021-01-04 00:56:00,0.0,11.6,22.0,0
2021-01-04 02:56:00,0.0,7.3,17.6,0
2021-01-04 03:04:00,0.0,9.8,22.0,3
2021-01-04 10:48:00,0.0,11.3,36.4,0
2021-01-04 13:54:00,0.0,13.0,34.6,1
2021-01-04 13:59:00,0.0,8.5,25.9,1
2021-01-04 15:53:00,0.0,9.5,33.8,1
2021-01-04 19:24:00,0.0,11.3,30.6,3
2021-01-04 21:46:00,0.2,8.2,14.0,51
2021-01-04 23:40:00,0.0,3.7,5.8,3
2021-01-05 07:34:00,0.0,6.2,17.3,3
2021-01-05 08:04:00,0.0,9.6,20.9,3
2021-01-05 08:49:00,0.0,10.2,23.8,2
2021-01-05 10:36:00,0.0,11.2,27.4,3
2021-01-05 15:07:00,0.0,7.5,24.8,3
2021-01-05 15:42:00,0.7,7.7,29.2,53
2021-01-05 17:08:00,0.0,8.5,20.2,3
2021-01-05 17:26:00,0.0,6.1,24.5,3
2021-01-05 17:53:00,0.0,6.8,25.6,1
2021-01-05 18:42:00,0.0,7.2,15.5,2
2021-01-05 21:19:00,0.0,4.5,7.6,3
2021-01-06 07:37:00,0.0,8.4,18.4,2
2021-01-06 07:57:00,0.0,10.2,19.8,3
2021-01-06 12:41:00,0.1,16.1,46.4,51
2021-01-06 13:00:00,0.0,16.8,46.4,2
2021-01-06 13:09:00,0.0,16.8,46.4,2
2021-01-06 14:33:00,0.0,14.4,37.1,3
2021-01-06 17:01:00,0.1,7.2,29.2,51
2021-01-06 17:34:00,0.0,7.0,28.8,3
2021-01-06 17:50:00,0.2,1.0,18.7,51
2021-01-06 22:27:00,0.3,9.4,19.4,51
2021-01-06 22:27:00,0.2,10.3,19.8,51
2021-01-06 23:45:00,0.0,10.2,18.0,3
2021-01-07 00:27:00,0.0,4.6,6.1,3
2021-01-07 00:49:00,0.0,9.6,18.0,3
2021-01-07 03:49:00,0.0,7.6,13.7,3
2021-01-07 07:22:00,0.0,9.6,24.1,3
2021-01-07 10:05:00,0.1,12.5,36.4,51
2021-01-07 11:51:00,0.0,14.4,41.0,3
2021-01-07 14:28:00,0.1,13.6,40.3,51
2021-01-07 20:00:00,0.0,13.1,23.0,3
2021-01-07 20:39:00,1.2,6.8,12.6,55
2021-01-07 20:40:00,0.2,7.0,13.7,51
2021-01-07 21:04:00,0.6,8.0,22.0,53
2021-01-07 21:37:00,0.0,2.9,9.7,3
2021-01-08 00:53:00,0.1,10.9,20.2,51
2021-01-08 05:02:00,0.0,8.1,19.4,3
2021-01-08 07:03:00,0.0,7.6,15.8,3
2021-01-08 10:03:00,0.1,10.8,25.2,51
2021-01-08 12:00:00,0.0,9.7,32.8,1
2021-01-08 12:03:00,0.0,10.3,35.6,3
2021-01-08 14:21:00,0.0,3.0,24.8,3
2021-01-08 15:48:00,1.0,11.2,28.8,55
2021-01-08 16:36:00,1.0,7.2,27.7,55
2021-01-08 19:44:00,3.1,8.4,19.4,63
2021-01-08 20:30:00,2.5,0.8,11.2,63
2021-01-08 21:28:00,2.9,4.2,14.8,63
2021-01-08 22:20:00,0.2,6.6,14.8,51
2021-01-09 00:08:00,0.1,4.5,9.4,51
2021-01-09 00:30:00,0.0,11.3,20.2,3
2021-01-09 00:33:00,0.0,4.7,10.1,3
2021-01-09 01:28:00,0.2,2.9,9.7,51
2021-01-09 04:56:00,0.1,6.1,11.5,51
2021-01-09 05:14:00,0.0,3.7,7.2,2
2021-01-09 08:11:00,0.0,6.9,17.6,3
2021-01-09 08:18:00,0.0,6.9,17.6,3
2021-01-09 08:54:00,0.0,2.6,11.9,2
2021-01-09 10:17:00,0.2,5.5,18.7,51
2021-01-09 12:43:00,0.2,6.4,20.2,51
2021-01-09 13:38:00,0.1,5.6,22.0,51
2021-01-09 14:15:00,0.2,11.8,27.4,51
2021-01-09 14:52:00,2.1,8.7,26.3,61
2021-01-09 15:16:00,0.1,7.6,22.7,51
2021-01-09 15:18:00,0.1,7.6,22.7,51
2021-01-09 22:28:00,0.0,13.8,25.2,3
2021-01-10 02:27:00,0.0,8.7,18.4,3
2021-01-10 02:35:00,0.0,4.6,8.6,3
2021-01-10 06:13:00,3.1,7.9,14.8,63
2021-01-10 08:57:00,0.0,12.4,26.3,3
2021-01-10 13:16:00,0.6,6.9,22.3,53
2021-01-10 13:23:00,0.2,6.3,24.5,51
2021-01-10 16:56:00,5.8,6.1,19.8,63
2021-01-10 16:58:00,1.7,2.1,19.8,61
2021-01-10 17:14:00,7.9,2.6,20.2,65
2021-01-10 17:40:00,1.2,15.0,33.5,55
2021-01-10 17:59:00,10.3,4.8,20.5,65
2021-01-10 18:28:00,0.0,12.7,29.5,3
2021-01-10 19:16:00,0.2,3.7,15.1,51
2021-01-10 20:33:00,0.2,12.6,23.8,51
2021-01-11 00:41:00,0.0,4.1,7.6,3
2021-01-11 06:11:00,0.0,7.1,11.9,3
2021-01-11 09:47:00,0.0,8.0,23.0,3
2021-01-11 10:13:00,0.2,11.5,24.8,51
2021-01-11 14:47:00,0.1,3.7,21.2,51
2021-01-11 15:05:00,0.0,2.3,17.3,3
2021-01-11 16:53:00,0.0,1.0,16.6,3
2021-01-11 17:18:00,0.2,4.2,14.4,51
2021-01-11 17:30:00,0.0,4.8,16.2,2
2021-01-11 17:33:00,1.6,2.5,15.1,61
2021-01-11 17:43:00,1.6,2.5,15.1,61
2021-01-11 18:03:00,5.4,6.0,13.7,63
2021-01-11 21:38:00,0.1,6.1,20.9,51
2021-01-12 02:15:00,0.0,2.8,4.3,3
2021-01-12 03:12:00,0.0,10.9,19.4,2
2021-01-12 05:34:00,0.0,5.5,14.8,3
2021-01-12 05:43:00,1.4,0.5,2.5,61
2021-01-12 06:15:00,0.9,1.8,5.4,53
2021-01-12 06:50:00,0.2,2.5,7.2,51
2021-01-12 11:55:00,0.1,6.4,19.8,51
2021-01-12 12:25:00,0.1,9.2,23.8,51
2021-01-12 13:40:00,0.1,10.8,27.4,51
2021-01-12 14:06:00,9.8,7.4,23.8,65
2021-01-12 14:07:00,1.6,5.7,21.2,61
2021-01-12 14:31:00,4.4,6.6,27.0,63
2021-01-12 14:48:00,1.6,5.7,21.2,61
2021-01-12 15:40:00,2.2,0.0,17.6,61
2021-01-12 16:15:00,1.4,9.9,22.0,61
2021-01-12 18:34:00,0.0,6.8,17.3,3
2021-01-12 19:06:00,0.0,3.8,16.6,3
2021-01-12 19:16:00,0.0,4.7,7.9,3
2021-01-12 20:29:00,0.6,4.7,11.9,53
2021-01-12 21:24:00,0.4,0.5,11.2,51
2021-01-12 21:33:00,0.0,7.2,14.4,3
2021-01-12 23:15:00,0.0,3.4,6.8,3
2021-01-13 00:20:00,2.0,4.9,9.7,61
2021-01-13 02:35:00,1.0,1.8,6.5,55
2021-01-13 02:52:00,0.2,6.1,10.8,51
2021-01-13 04:42:00,0.0,4.8,7.2,3
2021-01-13 07:27:00,0.0,8.8,16.2,2
2021-01-13 09:30:00,0.1,4.0,24.1,51
2021-01-13 14:33:00,0.1,9.4,22.3,51
2021-01-13 14:44:00,0.1,6.1,18.7,51
2021-01-13 17:35:00,0.8,8.5,21.2,53
2021-01-13 18:26:00,2.4,12.1,18.0,61
2021-01-13 18:30:00,0.6,14.7,38.9,53
2021-01-13 20:51:00,1.1,11.8,22.3,55
2021-01-14 01:16:00,0.0,9.1,16.2,3
2021-01-14 05:08:00,0.0,10.5,21.6,2
2021-01-14 05:29:00,0.2,6.2,13.0,51
2021-01-14 06:55:00,0.0,8.4,20.2,3
2021-01-14 10:27:00,0.0,9.0,22.3,1
2021-01-14 10:43:00,0.0,9.7,21.6,3
2021-01-14 12:18:00,0.0,7.9,27.4,0
2021-01-14 15:34:00,0.0,10.5,22.0,3
2021-01-14 15:45:00,0.0,10.5,22.0,3
2021-01-14 23:07:00,0.2,13.0,23.0,51
2021-01-15 05:30:00,0.0,4.6,9.7,1
2021-01-15 06:47:00,0.0,10.9,20.9,3
2021-01-15 10:43:00,0.0,10.5,23.4,1
2021-01-15 14:01:00,6.1,10.1,24.8,63
2021-01-15 16:33:00,0.2,3.2,15.1,51
2021-01-15 17:29:00,0.0,2.6,11.2,3
2021-01-15 22:40:00,0.5,3.3,13.7,53
2021-01-15 22:50:00,0.1,4.4,9.7,51
2021-01-15 23:27:00,0.0,7.1,14.8,3
2021-01-15 23:27:00,0.4,5.0,15.8,51
2021-01-16 02:26:00,0.0,7.1,14.0,3
2021-01-16 04:57:00,0.0,5.8,16.9,1
2021-01-16 05:15:00,0.0,8.0,16.2,1
2021-01-16 05:22:00,0.0,9.1,15.8,0
2021-01-16 05:45:00,0.0,5.4,9.0,1
2021-01-16 06:24:00,0.0,9.0,15.8,1
2021-01-16 07:30:00,0.0,10.5,20.2,0
2021-01-16 08:36:00,0.0,9.0,24.1,0
2021-01-16 10:22:00,0.1,14.1,32.4,51
2021-01-16 10:49:00,0.1,13.7,32.0,51
2021-01-16 16:18:00,0.0,7.6,25.6,3
2021-01-16 17:30:00,0.0,10.0,29.5,3
2021-01-16 18:00:00,0.6,9.2,29.2,53
2021-01-16 18:49:00,0.0,7.3,20.5,3
2021-01-16 20:14:00,0.0,10.5,20.2,3
2021-01-16 20:16:00,0.0,8.8,16.9,3
2021-01-16 21:06:00,0.0,10.0,15.1,3
2021-01-16 22:08:00,0.0,6.8,12.6,3
2021-01-17 02:12:00,0.2,12.0,19.8,51
2021-01-17 03:01:00,0.0,10.2,17.6,3
2021-01-17 03:40:00,0.0,2.2,5.8,3
2021-01-17 08:02:00,0.1,9.4,20.9,51
2021-01-17 11:24:00,0.0,19.0,41.0,3
2021-01-17 17:31:00,0.4,6.7,27.7,51
2021-01-17 19:47:00,0.0,4.7,14.8,3
2021-01-17 21:50:00,0.0,1.6,15.5,2
2021-01-17 22:59:00,0.6,1.8,4.3,53
2021-01-18 06:23:00,0.0,11.8,22.0,3
2021-01-18 06:34:00,0.0,11.8,22.0,3
2021-01-18 07:27:00,0.0,11.0,19.8,3
2021-01-18 10:17:00,0.1,14.9,32.8,51
2021-01-18 15:08:00,0.0,10.5,28.4,3
2021-01-18 15:27:00,0.1,10.2,31.0,51
2021-01-18 17:31:00,0.0,2.9,22.0,3
2021-01-18 18:05:00,0.0,3.7,8.6,3
2021-01-18 18:13:00,0.0,3.7,8.6,3
2021-01-18 18:23:00,0.1,5.4,15.8,51
2021-01-18 20:20:00,2.1,4.3,14.8,61
2021-01-18 20:52:00,0.1,10.2,24.1,51
2021-01-18 23:11:00,0.4,3.9,13.3,51
2021-01-19 05:53:00,0.0,4.0,10.8,3
2021-01-19 07:52:00,0.0,8.1,16.2,3
2021-01-19 09:42:00,0.0,5.1,20.2,3
2021-01-19 14:15:00,0.9,7.9,29.5,53
2021-01-19 15:49:00,0.4,2.2,23.4,51
2021-01-19 17:14:00,0.0,9.7,25.2,3
2021-01-19 23:28:00,0.1,9.7,22.0,51
2021-01-20 00:00:00,0.0,11.4,21.6,2
2021-01-20 00:26:00,0.0,10.4,19.8,0
