DATAHORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2025-01-01 01:12:47,0.0,6.5,13.0,0
2025-01-01 02:52:11,0.0,11.4,24.8,0
2025-01-01 04:11:25,0.0,6.0,12.2,0
2025-01-01 05:22:05,0.0,6.1,12.2,0
2025-01-01 06:51:06,0.0,4.6,8.3,0
2025-01-01 09:12:55,0.0,5.0,18.0,0
2025-01-01 12:30:23,0.0,8.6,26.6,1
2025-01-01 19:59:02,0.1,7.2,33.1,51
2025-01-01 23:17:56,1.4,9.3,27.4,61
2025-01-02 02:40:19,0.0,6.6,16.2,3
2025-01-02 05:03:22,0.0,4.0,13.7,2
2025-01-02 05:23:40,0.0,4.8,12.2,3
2025-01-02 07:35:24,0.0,7.0,18.4,0
2025-01-02 07:40:27,0.0,7.3,15.5,0
2025-01-02 08:35:57,0.0,8.8,23.4,0
2025-01-02 12:42:53,0.0,12.3,33.8,1
2025-01-02 13:22:34,0.1,14.7,32.0,51
2025-01-02 13:27:21,0.1,14.7,32.0,51
2025-01-02 16:02:39,0.3,5.5,22.7,51
2025-01-02 17:22:58,0.0,3.7,17.6,2
2025-01-02 18:17:51,0.0,5.6,14.0,3
2025-01-02 18:27:57,0.0,5.2,13.7,3
2025-01-02 18:46:48,0.0,4.9,15.5,3
2025-01-02 22:41:08,0.0,5.6,10.4,3
2025-01-03 00:37:17,0.0,3.8,12.2,1
2025-01-03 06:54:00,0.3,12.1,25.6,51
2025-01-03 06:58:31,0.0,7.6,14.0,3
2025-01-03 07:11:46,5.3,1.5,10.8,63
2025-01-03 09:11:27,0.0,7.2,27.7,3
2025-01-03 10:09:52,0.1,11.9,31.7,51
2025-01-03 11:19:08,0.1,12.1,32.8,51
2025-01-03 12:14:49,0.3,14.1,32.4,51
2025-01-03 14:24:24,10.3,11.7,43.2,65
2025-01-03 14:41:45,1.0,9.4,42.5,55
2025-01-03 15:56:30,0.0,4.8,23.4,1
2025-01-03 18:09:10,3.5,2.8,20.2,63
2025-01-03 20:11:06,0.0,5.2,18.4,2
2025-01-04 00:33:31,0.0,5.5,10.4,1
2025-01-04 03:44:00,0.0,8.2,16.2,3
2025-01-04 04:26:07,0.0,6.1,14.0,3
2025-01-04 04:26:49,0.0,11.8,22.0,2
2025-01-04 05:00:59,0.0,5.6,9.4,3
2025-01-04 06:23:09,1.4,9.4,24.5,61
2025-01-04 08:49:06,0.1,9.1,23.0,51
2025-01-04 09:23:03,0.0,9.4,23.8,3
2025-01-04 13:20:17,0.0,10.1,24.5,3
2025-01-04 14:02:35,1.8,10.3,36.0,61
2025-01-04 14:15:34,0.0,8.7,28.1,3
2025-01-04 14:47:40,0.0,8.7,28.1,3
2025-01-04 16:06:50,5.3,5.8,22.7,63
