DATAHORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2023-01-01 00:42:28,0.0,5.6,11.2,0
2023-01-01 05:06:43,0.0,8.0,13.0,0
2023-01-01 05:44:07,0.0,6.4,11.2,0
2023-01-01 08:49:14,0.0,6.9,18.0,0
2023-01-01 14:50:36,0.0,6.3,17.6,3
2023-01-01 19:52:57,0.0,10.5,18.7,1
2023-01-01 20:28:06,0.0,7.7,14.0,0
2023-01-01 21:57:35,0.0,6.9,16.2,0
2023-01-02 00:27:28,0.0,6.5,13.0,2
2023-01-02 01:36:05,0.0,5.4,15.8,0
2023-01-02 06:11:12,0.0,8.3,12.6,3
2023-01-02 07:05:29,0.0,4.3,12.2,3
2023-01-02 09:01:18,0.0,12.2,27.4,3
2023-01-02 09:59:43,0.0,14.1,25.2,3
2023-01-02 13:12:00,0.1,11.6,28.1,51
2023-01-02 15:39:37,0.1,9.1,25.6,51
2023-01-02 18:54:38,0.0,11.4,24.8,3
2023-01-02 19:33:09,0.0,7.6,20.9,3
2023-01-02 20:57:48,0.4,11.8,25.9,51
2023-01-02 22:38:21,0.0,6.9,13.3,3
2023-01-03 09:02:36,0.0,13.1,27.7,3
2023-01-03 10:11:58,0.1,20.9,39.2,51
2023-01-03 12:10:36,0.0,16.3,38.9,3
2023-01-03 14:15:56,0.0,14.2,35.6,3
2023-01-03 17:02:30,0.1,7.8,19.8,51
2023-01-03 18:13:00,4.1,9.5,20.2,63
2023-01-03 18:18:41,0.3,5.8,20.5,51
2023-01-03 20:58:18,0.0,5.9,9.7,3
2023-01-04 03:15:58,0.0,8.7,14.8,3
2023-01-04 06:40:13,0.0,10.5,18.4,3
2023-01-04 07:29:53,2.2,9.8,20.2,61
2023-01-04 07:50:31,0.0,13.2,26.3,3
2023-01-04 11:06:39,0.4,18.1,36.4,51
2023-01-04 11:17:00,0.2,19.9,41.8,51
2023-01-04 15:15:54,0.1,15.1,38.2,51
2023-01-04 15:28:02,0.1,13.2,37.4,51
2023-01-04 15:58:06,0.2,15.7,40.0,51
2023-01-04 23:28:26,0.8,16.6,28.1,53
2023-01-05 06:47:29,0.7,15.3,25.6,53
2023-01-05 06:53:57,2.0,14.3,27.4,61
2023-01-05 07:45:01,1.5,16.2,29.9,61
2023-01-05 09:37:57,0.1,12.4,24.8,51
2023-01-05 11:55:23,0.4,6.5,16.2,51
2023-01-05 14:53:06,0.1,14.9,32.0,51
2023-01-05 16:53:21,0.0,20.8,38.5,3
2023-01-05 17:07:53,0.3,18.6,39.6,51
2023-01-05 17:13:34,2.2,14.5,27.7,61
2023-01-05 17:42:53,0.2,16.7,36.0,51
2023-01-05 21:41:18,0.1,20.6,36.7,51
2023-01-06 03:33:28,0.3,16.1,28.4,51
2023-01-06 10:43:05,0.2,21.6,48.6,51
2023-01-06 10:47:21,0.8,23.0,47.9,53
2023-01-06 16:34:56,0.0,22.6,45.4,3
2023-01-06 18:26:43,0.0,23.8,46.1,3
2023-01-06 19:44:07,0.0,22.9,46.1,3
2023-01-06 19:57:03,0.0,22.9,46.1,3
2023-01-06 22:19:12,0.0,16.6,39.2,3
2023-01-06 23:03:14,0.0,18.0,34.6,3
2023-01-07 01:24:28,0.0,17.1,40.7,3
2023-01-07 01:27:29,0.0,17.1,33.5,3
2023-01-07 04:09:22,0.0,22.2,40.0,3
2023-01-07 04:57:36,0.6,13.8,24.8,53
2023-01-07 06:19:21,0.6,13.2,26.3,53
2023-01-07 10:14:37,0.0,20.7,41.8,3
2023-01-07 15:47:35,0.0,13.8,30.2,3
2023-01-07 17:05:57,0.0,16.0,31.7,3
2023-01-07 19:00:39,0.0,11.6,26.6,3
2023-01-08 00:40:58,0.0,16.2,32.0,3
2023-01-08 02:20:23,0.0,14.2,27.0,3
2023-01-08 18:33:52,0.1,15.9,28.8,51
2023-01-08 18:54:00,0.0,17.6,30.6,3
2023-01-08 19:05:08,0.0,14.0,25.9,3
2023-01-08 19:06:39,0.1,14.2,33.8,51
2023-01-08 21:19:12,0.1,16.1,30.2,51
2023-01-08 22:15:08,0.0,13.0,24.8,3
2023-01-08 22:52:37,0.0,14.7,28.1,3
2023-01-08 23:56:28,0.0,16.3,32.8,3
2023-01-09 03:01:54,2.3,9.7,18.7,61
2023-01-09 03:52:08,0.0,13.2,22.0,3
2023-01-09 06:28:27,0.0,12.9,22.7,3
2023-01-09 08:20:30,0.0,14.2,27.0,3
2023-01-09 12:56:01,0.2,7.6,27.0,51
2023-01-09 15:30:33,2.9,9.1,28.4,63
2023-01-09 15:39:35,0.1,5.4,20.2,51
2023-01-09 16:32:54,5.4,6.4,22.0,63
2023-01-09 17:49:34,0.2,4.7,23.8,51
2023-01-09 18:10:33,0.9,8.6,17.3,53
2023-01-09 22:30:00,0.2,5.0,13.0,51
2023-01-09 23:46:39,0.2,7.6,15.8,51
2023-01-10 06:20:57,0.9,7.4,15.1,53
2023-01-10 06:43:50,0.3,6.1,11.9,51
2023-01-10 06:54:07,0.0,6.0,9.7,3
2023-01-10 08:13:01,0.1,5.4,12.2,51
2023-01-10 08:17:36,0.0,9.7,17.3,3
2023-01-10 08:25:32,0.4,11.8,21.2,51
2023-01-10 12:04:13,0.3,14.1,32.8,51
2023-01-10 13:56:19,0.3,12.0,32.8,51
2023-01-10 14:23:34,0.3,12.8,32.0,51
2023-01-10 18:10:40,0.0,3.8,23.4,3
2023-01-10 18:39:57,0.1,0.5,12.2,51
2023-01-10 22:32:28,0.0,5.6,7.6,3
2023-01-10 23:27:11,0.0,4.7,12.6,3
2023-01-11 02:30:01,0.0,6.4,9.4,3
2023-01-11 06:44:11,0.0,7.3,12.2,3
2023-01-11 07:51:27,0.1,8.2,15.5,51
2023-01-11 07:53:39,0.0,9.8,20.5,3
2023-01-11 08:21:59,0.1,7.6,15.5,51
2023-01-11 08:24:47,0.1,9.0,18.4,51
2023-01-11 08:40:30,0.0,10.0,19.4,3
2023-01-11 11:42:42,0.9,23.2,37.8,53
2023-01-11 11:54:32,0.7,24.8,40.0,53
2023-01-11 12:20:31,0.8,22.2,40.3,53
2023-01-11 16:12:14,3.8,8.3,31.0,63
2023-01-11 18:25:20,0.0,5.6,22.7,3
2023-01-12 02:43:56,0.0,6.6,11.5,3
2023-01-12 04:49:02,0.0,11.4,20.9,3
2023-01-12 10:08:31,0.1,20.7,40.3,51
