Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;39,680;42,750;3,070;Amparo Perímetro Urbano (A) / Entroncamento SP 360 (km 128) (B) / Inicio do trecho conservado pela prefeitura;Final do trecho conservado pela prefeitura;Estadual;Prefeitura;Prefeitura;PAV; ; ;Sim; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE3394
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;42,750;43,800;1,050;Final do trecho conservado pela prefeitura;Amparo Perímetro Urbano (B);Estadual;DER;01.04;PAV; ; ;Sim; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE4618
SP 095;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;43,800;52,130;8,330;Amparo Perímetro Urbano (B);Entroncamento SP 107 (km Zero);Estadual;DER;01.04;DUP; ; ;Não; ; ;Nã;João Beira;Lei 6.842 de 26/04/90; ; ;095SPE6484
SP 105;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;9,600;12,400;2,800;Divisa Municipal Serra Negra / Amparo;Entroncamento SP 352 (km 149) (Distrito de Brumado);Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Doutor Rubens Pupo Pimentel;Lei 8.541 de 29/12/93; ; ;105SPE2859
SP 107;Eixo;Transversal;Estadual;Amparo;CGR01;Campinas;0,000;10,000;10,000;Entroncamento SP 095 (km 52);Divisa Municipal Amparo / Santo Antônio de Posse;Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Prefeito Aziz Lian;Dec. 19.575 de 24/09/82; ; ;107SPE7475
SPA 137/360;Acesso;Sem Informação;Estadual;Monte Alegre do Sul;CGR01;Campinas;3,450;6,400;2,950;Divisa Municipal Amparo / Monte Alegre do Sul;Monte Alegre do Sul Perímetro Urbano (A);Estadual;DER;01.04;PAV; ; ;Não; ; ;Nã;Professora Pedrina Maria da Silva Valente;Lei 6.218 de 11/11/88; ; ;360SPA6568
SPA 137/360;Acesso;Sem Informação;Estadual;Monte Alegre do Sul;CGR01;Campinas;6,400;8,500;2,100;Monte Alegre do Sul Perímetro Urbano (A);Monte Alegre do Sul Perímetro Urbano (B);Estadual;DER;01.04;PAV; ; ;Sim; ; ;Nã;Professora Pedrina Maria da Silva Valente;Lei 6.218 de 11/11/88; ; ;360SPA4970
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;99,900;104,900;5,000;Divisa municipal General Sangado / Auriflama;Entroncamento SP 310 (km 558);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9433
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;104,900;105,773;0,873;Entroncamento SP 310 (km 558);Divisa municipal Auriflama / General Salgado;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE5322
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;109,336;118,692;9,356;Divisa municipal General Salgado / Auriflama;Divisa municipal Auriflama / General Salgado;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE7724
SP 463;Eixo;Transversal;Estadual;Auriflama;CGR11;Araçatuba;118,692;121,900;3,208;Divisa municipal Auriflama / General Salgado;Divisa municipal General Salgado / Populína;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9870
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;557,500;558,210;0,710;Divisa municipal General Salgado / Auriflama / Inicio da pista dupla;Inicio da Pista Dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE5865
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;558,210;558,950;0,740;Inicio da Pista Dupla;Entroncamento da SP 463 (km 104);Estadual;DER;11.01;DUP; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE0080
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;558,950;559,660;0,710;Entroncamento da SP 463 (km 104);Final da Pista Dupla;Estadual;DER;11.01;DUP; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE8881
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;559,660;564,890;5,230;Final da Pista Dupla;Inicio da Pista Dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE6583
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;564,890;565,370;0,480;Inicio da Pista Dupla;Entroncamento acesso Auriflama (SPA 565/310);Estadual;DER;11.01;DUP; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE0079
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;565,370;565,850;0,480;Entroncamento acesso Auriflama (SPA 565/310);Final da Pista Dupla;Estadual;DER;11.01;DUP; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE0078
SP 310;Eixo;Radial;Estadual;Auriflama;CGR11;Araçatuba;565,850;572,540;6,690;Final da Pista Dupla;Divisa municipal Auriflama / Guzolandia;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE3708
SPA 565/310;Acesso;Sem Informação;Estadual;Auriflama;CGR11;Araçatuba;0,000;2,565;2,565;SP 310;Auriflama;Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã;Arthur Fornazari Neto;Lei 6.281 de 21/12/88; ; ;310SPA8974
SPA 096/463;Acesso;Sem Informação;Estadual;Auriflama;CGR11;Araçatuba;3,375;9,450;6,075;Divisa Municipal General Salgado / Auriflama;Auriflama;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Irmãos Bonetto;Lei 6.282 de 21/12/88; ; ;463SPA3374
01 SPA 568/300;Acesso;Sem Informação;Estadual;Bento de Abreu;CGR11;Araçatuba;0,000;2,100;2,100;km 001 / 568 / 300 (Bento de Abreu);Bento de Abreu (Destilaria Benalco);Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã; ; ; ; ;300SPA7754
SPA 568/300;Acesso;Sem Informação;Estadual;Bento de Abreu;CGR11;Araçatuba;0,000;1,580;1,580;SP 300;Entrocamento com a 01 SPA 568/300;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Ezequiel Paulo Pereira;Lei 4.353 de 05/11/84; ; ;300SPA3571
SPA 568/300;Acesso;Sem Informação;Estadual;Bento de Abreu;CGR11;Araçatuba;1,580;7,100;5,520;Entrocamento com a 01 SPA 568/300;Bento de Abreu;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Ezequiel Paulo Pereira;Lei 4.353 de 05/11/84; ; ;300SPA4794
SP 300;Eixo;Radial;Estadual;Bento de Abreu;CGR11;Araçatuba;563,020;568,660;5,640;Divisa Municipal Rubiacea / Bento de Abreu;Acesso Bento de Abreu;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE4226
SP 300;Eixo;Radial;Estadual;Bento de Abreu;CGR11;Araçatuba;568,660;570,900;2,240;Acesso Bento de Abreu;Divisa Municipal Bento de Abreu / Valparaiso;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE0299
SP 541;Eixo;Transversal;Estadual;Bento de Abreu;CGR11;Araçatuba;39,900;43,500;3,600;Divisa Municipal Valparaíso / Bento de Abreu;Divisa Municipal Bento de Abreu / Valparaíso;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Plácido Rocha, Doutor;Lei 2.572 de 02/12/80; ; ;541SPE2253
SP 541;Eixo;Transversal;Estadual;Bento de Abreu;CGR11;Araçatuba;48,900;52,200;3,300;Divisa Municipal Valparaíso / Bento de Abreu;Divisa Municipal Bento de Abreu / Valparaíso;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Plácido Rocha, Doutor;Lei 2.572 de 02/12/80; ; ;541SPE8299
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;30,800;38,900;8,100;Divisa municipal Bilac / Araçatuba;Inicio da pista dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Deputado Jorge Maluly Netto; ; ; ;463SPE0888
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;38,900;42,070;3,170;Inicio da pista dupla;Entroncamento SP 300 (km 535);Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã;Deputado Jorge Maluly Netto; ; ; ;463SPE2605
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;42,070;47,860;5,790;Entroncamento SP 300 (km 535);Acesso ao Aeroporto;Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE7772
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;47,860;51,300;3,440;Acesso ao Aeroporto;Final do trecho duplo;Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE8529
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;51,300;57,820;6,520;Final do trecho duplo;Início do trecho duplo;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9807
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;57,820;59,460;1,640;Início do trecho duplo;Final do trecho duplo;Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE4068
SP 463;Eixo;Transversal;Estadual;Araçatuba;CGR11;Araçatuba;59,460;60,300;0,840;Final do trecho duplo;Divisa municipal Araçatuba / Santo Antônio do Aracanguá;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE5772
SPA 018/461;Acesso;Sem Informação;Estadual;Araçatuba;CGR11;Araçatuba;6,600;7,770;1,170;Divisa Municipal Biriguí / Araçatuba;Inicio da Pista Dupla;Estadual;DER;11.02;PAV; ; ;Não; ; ;Nã;Dr. Onofre;Lei 13.303 de 12/03/2008; ; ;461SPA9685
SPA 018/461;Acesso;Sem Informação;Estadual;Araçatuba;CGR11;Araçatuba;7,770;9,625;1,855;Inicio da Pista Dupla;Araçatuba / Final da Pista Dupla;Estadual;DER;11.02;DUP; ; ;Não; ; ;Nã;Dr. Onofre;Lei 13.303 de 12/03/2008; ; ;461SPA3592
SP 300;Eixo;Radial;Estadual;Araçatuba;CGR11;Araçatuba;525,870;528,000;2,130;Divisa Municipal Birigui / Araçatuba;Acesso Araçatuba (I) -Acesso Unesp;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE4052
SP 300;Eixo;Radial;Estadual;Araçatuba;CGR11;Araçatuba;528,000;530,510;2,510;Acesso Araçatuba (I) -Acesso Unesp;Acesso Araçatuba (II);Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE4138
SP 300;Eixo;Radial;Estadual;Araçatuba;CGR11;Araçatuba;530,510;534,990;4,480;Acesso Araçatuba (II);Acesso Araçatuba-Entroncamento SP 463 (km 42);Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE2274
SP 300;Eixo;Radial;Estadual;Araçatuba;CGR11;Araçatuba;534,990;545,850;10,860;Acesso Araçatuba-Entroncamento SP 463 (km 42);Divisa Municipal Araçatuba / Guararapes;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE9814
SP 463;Eixo;Transversal;Estadual;General Salgado;CGR11;Araçatuba;105,773;109,336;3,563;Divisa municipal Auriflama / General Salgado;Divisa municipal General Salgado / Auriflama;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE8750
SP 463;Eixo;Transversal;Estadual;General Salgado;CGR11;Araçatuba;96,500;99,900;3,400;Acesso Auriflama;Divisa municipal General Sangado / Auriflama;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE7864
SP 310;Eixo;Radial;Estadual;General Salgado;CGR11;Araçatuba;538,260;542,500;4,240;Divisa municipal Magda / General Salgado;Inicio Pista Dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Salles Cunha;Lei 408 de 13/09/74; ; ;310SPE2587
SP 310;Eixo;Radial;Estadual;General Salgado;CGR11;Araçatuba;542,500;546,580;4,080;Inicio Pista Dupla;Perimetro Urbano General Salgado (B)/Final da pista dupla;Estadual;DER;11.01;DUP; ; ;Não; ; ;Nã;Rodovia Feliciano Salles Cunha;Lei 408 de 13/09/74; ; ;310SPE6216
SP 310;Eixo;Radial;Estadual;General Salgado;CGR11;Araçatuba;546,580;554,757;8,177;Perimetro Urbano General Salgado (B)/Final da pista dupla;Entroncamento SPA 555/310;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Salles  Cunha;Lei 408 de 13/09/74; ; ;310SPE1574
SP 310;Eixo;Radial;Estadual;General Salgado;CGR11;Araçatuba;554,757;557,500;2,743;Entroncamento SPA 555/310;Divisa municipal General Salgado / Auriflama / Inicio da pista dupla;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Salles  Cunha;Lei 408 de 13/09/74; ; ;310SPE3023
SPA 555/310;Acesso;Sem Informação;Estadual;General Salgado;CGR11;Araçatuba;0,000;1,000;1,000;SP 310;São Luis do Japiuba (General Salgado);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; ; ; ; ;310SPA2990
SPA 096/463;Acesso;Sem Informação;Estadual;General Salgado;CGR11;Araçatuba;0,000;3,375;3,375;SP 463;Divisa Municipal General Salgado / Auriflama;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Irmãos Bonetto;Lei 6.282 de 21/12/88; ; ;463SPA0533
SP 300;Eixo;Radial;Estadual;Guararapes;CGR11;Araçatuba;545,850;553,230;7,380;Divisa Municipal Araçatuba / Guararapes;Acesso Guararapes;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE9971
SP 300;Eixo;Radial;Estadual;Guararapes;CGR11;Araçatuba;553,230;561,350;8,120;Acesso Guararapes;Acesso Rubiácea;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE8350
SP 300;Eixo;Radial;Estadual;Guararapes;CGR11;Araçatuba;561,350;561,430;0,080;Acesso Rubiácea;Divisa Municipal Guararapes / Rubiacea;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE6037
SPA 561/300;Acesso;Sem Informação;Estadual;Guararapes;CGR11;Araçatuba;0,000;4,441;4,441;SP 300;Divisa Municipal Guararapes / Rubiácea;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Vilso Estevam Baraldi;Lei 9.602 de 05/05/97; ; ;300SPA8390
SPA 553/300;Acesso;Sem Informação;Estadual;Guararapes;CGR11;Araçatuba;0,000;3,200;3,200;SP 300;Guararapes;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã; ; ; ; ;300SPA2886
SPA 553/300;Acesso;Sem Informação;Estadual;Guararapes;CGR11;Araçatuba;3,200;3,600;0,400;Guararapes;Guararapes;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã; ; ; ; ;300SPA0006
SP 473;Eixo;Transversal;Estadual;Gastão Vidigal;CGR11;Araçatuba;8,313;13,874;5,561;Divisa Municipal Floreal / Gastão Vidigal;Acesso Gastão Vidigal;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Fioravante Bellini;Lei 9.722 de 26/08/97; ; ;473SPE1356
SP 473;Eixo;Transversal;Estadual;Gastão Vidigal;CGR11;Araçatuba;13,874;19,821;5,947;Acesso Gastão Vidigal;Divisa Municipal Gastão Vidigal / Nova Luzitania;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Doutor Antonio Villela;Dec. 19.168 de 02/08/82; ; ;473SPE6899
SP 473;Eixo;Transversal;Estadual;Floreal;CGR11;Araçatuba;0,000;8,313;8,313;Entroncamento SP 310 (km 521) (Floreal);Divisa Municipal Floreal / Gastão Vidigal;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Fioravante Bellini;Lei 9.722 de 26/08/97; ; ;473SPE7695
SP 310;Eixo;Radial;Estadual;Floreal;CGR11;Araçatuba;518,400;520,500;2,100;Divisa Municipal Nhandeara / Floreal;Entroncamento SPA 520/310;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE7610
SP 310;Eixo;Radial;Estadual;Floreal;CGR11;Araçatuba;520,500;522,398;1,898;Entroncamento SPA 520/310;Entroncamento SP 473 (km ZERO);Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE2105
SP 310;Eixo;Radial;Estadual;Floreal;CGR11;Araçatuba;522,398;526,720;4,322;Entroncamento SP 473 (km ZERO);Divisa municipal Floreal / Magda;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE8501
SPA 520/310;Acesso;Sem Informação;Estadual;Floreal;CGR11;Araçatuba;0,000;0,600;0,600;SP 310;Floreal;Municipal;Prefeitura;Prefeitura;PAV; ; ;Não; ; ;Nã; ; ; ; ;310SPA2187
SP 300;Eixo;Radial;Estadual;Lavínia;CGR11;Araçatuba;586,830;594,280;7,450;Divisa Municipal Valparaiso / Lavínia;Acesso Lavínia;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE5973
SP 300;Eixo;Radial;Estadual;Lavínia;CGR11;Araçatuba;594,280;599,680;5,400;Acesso Lavínia;Divisa Municipal Lavínia / Mirandópolis;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE9690
SPA 594/300;Acesso;Sem Informação;Estadual;Lavínia;CGR11;Araçatuba;0,000;5,540;5,540;SP 300;Lavinia Perímetro Urbano (A);Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Arthur Giometti;Lei 4.519 de 17/01/85; ; ;300SPA1971
SPA 594/300;Acesso;Sem Informação;Estadual;Lavínia;CGR11;Araçatuba;5,540;6,000;0,460;Lavinia Perímetro Urbano (A);Lavínia;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Arthur Giometti;Lei 4.519 de 17/01/85; ; ;300SPA0729
SP 473;Eixo;Transversal;Estadual;Nova Luzitânia;CGR11;Araçatuba;19,821;24,260;4,439;Divisa Municipal Gastão Vidigal / Nova Luzitania;Nova Luzitania Perímetro Urbano (B);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Doutor Antonio Villela;Dec. 19.168 de 02/08/82; ; ;473SPE0299
SP 310;Eixo;Radial;Estadual;Magda;CGR11;Araçatuba;526,720;530,720;4,000;Divisa municipal Floreal / Magda;Acesso Magda;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE4492
SP 310;Eixo;Radial;Estadual;Magda;CGR11;Araçatuba;530,720;538,260;7,540;Acesso Magda;Divisa municipal Magda / General Salgado;Estadual;DER;11.01;PAV; ; ;Não; ; ;Sim;Rodovia Feliciano Sales da Cunha;Lei 408 de 13/09/74; ; ;310SPE4381
SP 300;Eixo;Radial;Estadual;Mirandópolis;CGR11;Araçatuba;599,680;601,210;1,530;Divisa Municipal Lavínia / Mirandópolis;Acesso Mirandópolis;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE2238
SP 300;Eixo;Radial;Estadual;Mirandópolis;CGR11;Araçatuba;601,210;607,820;6,610;Acesso Mirandópolis;Acesso Primeira Aliança;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE6716
SP 300;Eixo;Radial;Estadual;Mirandópolis;CGR11;Araçatuba;607,820;610,740;2,920;Acesso Primeira Aliança;Divisa Municipal Mirandópolis / Guaraçaí;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE4948
SPA 601/300;Acesso;Sem Informação;Estadual;Mirandópolis;CGR11;Araçatuba;0,000;5,670;5,670;SP 300;Mirandópolis Perímetro Urbano (A);Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Doutor Neif Mustafá;Lei 6.578 de 30/11/89; ; ;300SPA5966
SPA 601/300;Acesso;Sem Informação;Estadual;Mirandópolis;CGR11;Araçatuba;5,670;5,970;0,300;Mirandópolis Perímetro Urbano (A);Mirandópolis;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Doutor Neif Mustafá;Lei 6.578 de 30/11/89; ; ;300SPA6319
SPA 607/300;Acesso;Sem Informação;Estadual;Mirandópolis;CGR11;Araçatuba;0,000;7,200;7,200;SP 300;Mirandópolis;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Chikazo Kitahara;Lei 3.408 de 22/06/82; ; ;300SPA0004
SPA 607/300;Acesso;Sem Informação;Estadual;Mirandópolis;CGR11;Araçatuba;7,200;7,340;0,140;Mirandópolis;Primeira Aliança (Mirandópolis);Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Chikazo Kitahara;Lei 3.408 de 22/06/82; ; ;300SPA4388
SPA 561/300;Acesso;Sem Informação;Estadual;Rubiácea;CGR11;Araçatuba;4,441;9,410;4,969;Divisa Municipal Guararapes / Rubiácea;Rubiácea Perímetro Urbano (A);Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Vilso Estevam Baraldi;Lei 9.602 de 05/05/97; ; ;300SPA5187
SPA 561/300;Acesso;Sem Informação;Estadual;Rubiácea;CGR11;Araçatuba;9,410;9,810;0,400;Rubiácea Perímetro Urbano (A);Rubiácea;Estadual;Concessionária;ViaRondon;PAV; ; ;Não;06 05 2009;07 05 2039;Nã;Vilso Estevam Baraldi;Lei 9.602 de 05/05/97; ; ;300SPA2712
SP 300;Eixo;Radial;Estadual;Rubiácea;CGR11;Araçatuba;561,430;563,020;1,590;Divisa Municipal Guararapes / Rubiacea;Divisa Municipal Rubiacea / Bento de Abreu;Estadual;Concessionária;ViaRondon;DUP; ; ;Não;06 05 2009;07 05 2039;Nã;Rondon, Via;Dec. 30.661 de 10/01/58; ; ;300SPE2031
SPA 075/463;Acesso;Sem Informação;Estadual;Santo Antônio do Aracangua;CGR11;Araçatuba;0,000;4,000;4,000;SP 463;Destilaria Aralco (Araçatuba);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; ; ; ; ;463SPA5787
SP 463;Eixo;Transversal;Estadual;Santo Antônio do Aracangua;CGR11;Araçatuba;60,300;75,053;14,753;Divisa municipal Araçatuba / Santo Antônio do Aracanguá;Entroncamento SPA 075/463;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE9746
SP 463;Eixo;Transversal;Estadual;Santo Antônio do Aracangua;CGR11;Araçatuba;75,053;77,470;2,417;Entroncamento SPA 075/463;Acesso a Major Prado (terra);Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE8105
SP 463;Eixo;Transversal;Estadual;Santo Antônio do Aracangua;CGR11;Araçatuba;77,470;91,030;13,560;Acesso a Major Prado (terra);Divisa municipal Santo Antônio do Aracanguá;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE1532
SP 463;Eixo;Transversal;Estadual;Santo Antônio do Aracangua;CGR11;Araçatuba;91,030;96,500;5,470;Divisa municipal Santo Antônio do Aracanguá;Acesso Auriflama;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã; Dr. Elyeser Montenegro Magalhães;Lei 1.829 de 07/11/78; ; ;463SPE5367
SP 541;Eixo;Transversal;Estadual;Valparaíso;CGR11;Araçatuba;43,500;48,900;5,400;Divisa Municipal Bento de Abreu / Valparaíso;Divisa Municipal Valparaíso / Bento de Abreu;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Plácido Rocha, Doutor;Lei 2.572 de 02/12/80; ; ;541SPE0664
SP 541;Eixo;Transversal;Estadual;Valparaíso;CGR11;Araçatuba;52,200;56,000;3,800;Divisa Municipal Bento de Abreu / Valparaíso;Valparaíso Perímetro Urbano;Estadual;DER;11.01;PAV; ; ;Não; ; ;Nã;Plácido Rocha, Doutor;Lei 2.572 de 02/12/80; ; ;541SPE3548
