Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 228;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;26,000;26,350;0,350;Divisa Municipal São Paulo / Itapecerica da Serra;Itapecerica da Serra Perímetro Urbano (A);Estadual;Prefeitura;Prefeitura;PAV; ; ;Não; ; ;Nã;Armando Salles;Dec. 20.750 de 09/03/83;TPU 001/2008; ;228SPE7522
SP 228;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;26,350;31,000;4,650;Itapecerica da Serra Perímetro Urbano (A);Itapecerica da Serra Perímetro Urbano (A);Estadual;DER;10.02;PAV; ; ;Não; ; ;Nã;Armando Salles;Dec. 20.750 de 09/03/83; ; ;228SPE9815
SP 228;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;31,000;32,100;1,100;Itapecerica da Serra Perímetro Urbano (A);Itapecerica da Serra Perímetro Urbano (A);Estadual;Prefeitura;Prefeitura;PAV; ; ;Não; ; ;Nã;Armando Salles;Dec. 20.750 de 09/03/83;TPU 001/2008; ;228SPE7278
SP 228;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;32,100;33,600;1,500;Itapecerica da Serra Perímetro Urbano (A);Itapecerica da Serra Perímetro Urbano (B);Estadual;DER;10.02;PAV; ; ;Não; ; ;Nã;Armando Salles;Dec. 20.750 de 09/03/83; ; ;228SPE0717
SP 228;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;33,600;36,100;2,500;Itapecerica da Serra Perímetro Urbano (B);Entroncamento SP 230 (km 292);Estadual;DER;10.02;PAV; ; ;Não; ; ;Nã;Armando Salles;Dec. 20.750 de 09/03/83; ; ;228SPE2092
SP 214;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;31,010;32,800;1,790;Divisa Municipal São Paulo / Itapecerica Serra;final do trecho duplicado;Estadual;DER;10.02;DUP; ; ;Não; ; ;Nã;José Simões Louro Junior;Lei 6.435 de 25/04/89; ; ;214SPE7078
SP 214;Eixo;Radial;Estadual;Itapecerica da Serra;CGR10;São Paulo;32,800;34,160;1,360;final do trecho duplicado;Divisa Municipal Itapecerica Serra / Embu-Guaçu;Estadual;DER;10.02;PAV; ; ;Não; ; ;Nã;José Simões Louro Junior;Lei 6.435 de 25/04/89; ; ;214SPE0231
SP 055;Eixo;Transversal;Estadual;Santos;CGR05;Cubatão;248,100;259,500;11,400;Entroncamento SPA 248/055;Divisa Municipal Santos / Cubatão;Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2034;Nã;s/d; ; ; ;055SPE2400
SP 150;Eixo;Radial;Estadual;Santos;CGR05;Cubatão;61,700;65,600;3,900;Divisa Municipal Cubatão / Santos;Santos Perímetro Urbano (A);Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2034;Sim;Anchieta, Via;Men. Dec. 10.418 , 11/08/39; ; ;150SPE5912
SP 148;Eixo;Radial;Estadual;Santos;CGR05;Cubatão;59,000;63,100;4,100;Divisa Municipal Cubatão/Santos;Santos - Perímetro Urbano (A);Estadual;Concessionária;Ecovias;PAV; ; ;Não;29 05 1998;29 03 2033;Nã;Caminho do Mar; ; ; ;148SPE4581
