CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L01-AUTOBAN,SP330,"13,950",NORTE,199,REG. METROPOLITANA SÃO PAULO,SAO PAULO,ALAGAMENTO,2026-04-30 00:00:00,2026-04-30 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"122,000",NORTE,417,CAMPINAS,AMERICANA,ALAGAMENTO,2026-04-29 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,"FAIXA 1, ACOSTAMENTO"
L16-CART,SPA553/270,"3,320",SUL,133,PRESIDENTE PRUDENTE,REGENTE FEIJO,ALAGAMENTO,2026-04-29 00:00:00,2026-04-29 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"68,000",INTERNO,105,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-04-29 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,"FAIXA 1, FAIXA 3, ACOSTAMENTO"
L01-AUTOBAN,SP348,"98,000",SUL,518,CAMPINAS,CAMPINAS,ALAGAMENTO,2026-04-28 00:00:00,2026-04-29 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L07-ROTA,SP065,"47,000",SUL,91,CAMPINAS,NAZARE PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-28 00:00:00,2026-04-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"216,900",LESTE,26,ITAPEVA,ANGATUBA,ALAGAMENTO,2026-04-27 00:00:00,2026-04-27 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"295,700",LESTE,38,ITAPEVA,PIRAJU,DESLIZAMENTO DE TALUDE,2026-04-27 00:00:00,2026-04-27 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L35-VIARAPOSO,SP270,"199,600",OESTE,65,ITAPEVA,ANGATUBA,DESLIZAMENTO DE TALUDE,2026-04-27 00:00:00,2026-04-27 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA241/300,"9,000",NORTE,27,SOROCABA,BOTUCATU,EROSÃO,2026-04-26 00:00:00,2026-04-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"58,800",NORTE,130,CAMPINAS,JUNDIAI,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"186,000",NORTE,2,CAMPINAS,CONCHAL,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L32-NOVO LITORAL,SP055,"330,800",LESTE,5,BAIXADA SANTISTA,ITANHAEM,EROSÃO,2026-04-25 00:00:00,2026-04-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP113,"1,000",SUL,55,SOROCABA,TIETE,EROSÃO,2026-04-24 00:00:00,2026-04-24 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SP113,"1,000",SUL,26,SOROCABA,TIETE,EROSÃO,2026-04-23 00:00:00,2026-04-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP225,"308,507",OESTE,86,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L30-EIXOSP,SPA195/304,"1,100",SUL,4862,CAMPINAS,SAO PEDRO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L30-EIXOSP,SP304,"210,200",LESTE,4940,CAMPINAS,SAO PEDRO,EROSÃO,2026-04-20 00:00:00,2026-04-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"83,000",LESTE,133,CAMPINAS,CABREUVA,ALAGAMENTO,2026-04-18 00:00:00,2026-04-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"320,900",LESTE,7,BAURU,AGUDOS,EROSÃO,2026-04-18 00:00:00,2026-04-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP075,"74,400",SUL,39,CAMPINAS,CAMPINAS,EROSÃO,2026-04-17 00:00:00,2026-04-17 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L06-INTERVIAS,SP330,"186,600",SUL,2309,CAMPINAS,LEME,DESLIZAMENTO DE TALUDE,2026-04-14 00:00:00,2026-04-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"493,800",LESTE,16,ARAÇATUBA,PENAPOLIS,EROSÃO,2026-04-13 00:00:00,2026-04-13 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L06-INTERVIAS,SP215,"117,700",LESTE,1729,CENTRAL,DESCALVADO,EROSÃO,2026-04-11 00:00:00,2026-04-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"71,000",INTERNO,19,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-04-11 00:00:00,2026-04-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"64,860",SUL,184,CAMPINAS,JUNDIAI,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP348,"49,080",NORTE,354,CAMPINAS,JUNDIAI,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP225,"312,133",OESTE,101,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2026-04-10 00:00:00,2026-04-10 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"21,800",NORTE,133,REG. METROPOLITANA SÃO PAULO,SAO PAULO,EROSÃO,2026-04-09 00:00:00,2026-04-12 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"46,100",SUL,93,CAMPINAS,NAZARE PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"532,500",LESTE,38,ARAÇATUBA,ARACATUBA,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SP300,"555,000",OESTE,149,ARAÇATUBA,GUARARAPES,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L25-SPMAR,SP021,"121,000",INTERNO,219,REG. METROPOLITANA SÃO PAULO,ITAQUAQUECETUBA,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP334,"354,388",SUL,2043,FRANCA,BATATAIS,EROSÃO,2026-04-09 00:00:00,2026-04-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP345,"29,371",OESTE,2149,FRANCA,FRANCA,ALAGAMENTO,2026-04-09 00:00:00,2026-04-09 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"49,000",NORTE,179,CAMPINAS,JUNDIAI,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"139,100",NORTE,183,CAMPINAS,LIMEIRA,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"150,700",NORTE,118,CAMPINAS,ARTUR NOGUEIRA,ALAGAMENTO,2026-04-08 00:00:00,2026-04-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"397,750",LESTE,42,BAURU,PIRAJUI,EROSÃO,2026-04-08 00:00:00,2026-04-08 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L21-TIETÊ,SP308,"154,500",NORTE,8,CAMPINAS,RIO DAS PEDRAS,DESLIZAMENTO DE TALUDE,2026-04-08 00:00:00,2026-04-12 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"12,850",NORTE,253,REG. METROPOLITANA SÃO PAULO,SAO PAULO,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L11-RENOVIAS,SP342,"221,500",LESTE,110,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP342,"223,000",OESTE,113,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"289,100",OESTE,31,BAURU,LENCOIS PAULISTA,DESLIZAMENTO DE TALUDE,2026-04-07 00:00:00,2026-04-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"230,500",LESTE,96,SOROCABA,BOTUCATU,EROSÃO,2026-04-07 00:00:00,2026-04-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L11-RENOVIAS,SP340,"159,000",SUL,145,CAMPINAS,MOGI MIRIM,ALAGAMENTO,2026-04-06 00:00:00,2026-04-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"156,700",OESTE,76,SOROCABA,TIETE,EROSÃO,2026-04-06 00:00:00,2026-04-06 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"580,000",OESTE,198,PRESIDENTE PRUDENTE,ALVARES MACHADO,DESLIZAMENTO DE TALUDE,2026-04-06 00:00:00,2026-04-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"506,100",OESTE,29,ARAÇATUBA,COROADOS,EROSÃO,2026-04-05 00:00:00,2026-04-05 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L21-TIETÊ,SP300,"287,000",LESTE,60,BAURU,LENCOIS PAULISTA,ALAGAMENTO,2026-04-04 00:00:00,2026-04-04 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"66,700",SUL,65,BAIXADA SANTISTA,SAO VICENTE,ALAGAMENTO,2026-04-04 00:00:00,2026-04-04 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L19-VIARONDON,SP300,"449,000",OESTE,26,BAURU,GUAICARA,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,ALÇA/RETORNO
L19-VIARONDON,SPA460/300,"4,000",NORTE,106,BAURU,PROMISSAO,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"553,600",LESTE,135,ARAÇATUBA,GUARARAPES,EROSÃO,2026-04-03 00:00:00,2026-04-03 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L16-CART,SP270,"426,317",OESTE,144,MARÍLIA,PALMITAL,ALAGAMENTO,2026-04-02 00:00:00,2026-04-02 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP280,"165,000",LESTE,157,SOROCABA,PORANGABA,DESLIZAMENTO DE TALUDE,2026-04-02 00:00:00,2026-04-02 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"14,450",SUL,67,REG. METROPOLITANA SÃO PAULO,SAO PAULO,EROSÃO,2026-04-01 00:00:00,2026-04-01 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP147,"72,000",OESTE,180,CAMPINAS,MOGI MIRIM,ALAGAMENTO,2026-04-01 00:00:00,2026-04-01 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"378,000",OESTE,424067,MARÍLIA,ECHAPORA,EROSÃO,2026-04-01 00:00:00,2026-05-04 00:00:00,COM INTERDIÇÃO,FAIXA 1
L35-VIARAPOSO,SP270,"256,900",LESTE,51,ITAPEVA,PARANAPANEMA,ALAGAMENTO,2026-04-01 00:00:00,2026-04-01 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP342,"225,800",LESTE,101,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-03-31 00:00:00,2026-03-31 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L11-RENOVIAS,SP342,"196,000",LESTE,108,CAMPINAS,ESPIRITO SANTO DO PINHAL,ALAGAMENTO,2026-03-31 00:00:00,2026-03-31 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L20-SPVIAS,SP258,"281,500",LESTE,108,ITAPEVA,ITAPEVA,EROSÃO,2026-03-31 00:00:00,2026-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP150,"64,000",NORTE,37,BAIXADA SANTISTA,SANTOS,ALAGAMENTO,2026-03-31 00:00:00,2026-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SPA348/334,"2,000",NORTE,7650,FRANCA,BATATAIS,ALAGAMENTO,2026-03-31 00:00:00,2026-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"350,800",LESTE,114,BAURU,BAURU,EROSÃO,2026-03-30 00:00:00,2026-03-30 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L19-VIARONDON,SP300,"421,700",OESTE,60,BAURU,CAFELANDIA,EROSÃO,2026-03-27 00:00:00,2026-03-27 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L32-NOVO LITORAL,SP055,"325,050",OESTE,99,BAIXADA SANTISTA,ITANHAEM,EROSÃO,2026-03-27 00:00:00,2026-03-27 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"342,000",LESTE,24,BAURU,BAURU,EROSÃO,2026-03-26 00:00:00,2026-03-26 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L20-SPVIAS,SP127,"114,050",SUL,211,SOROCABA,TATUI,EROSÃO,2026-03-26 00:00:00,2026-03-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP308,"153,200",SUL,40,CAMPINAS,RIO DAS PEDRAS,QUEDA DE TALUDE,2026-03-25 00:00:00,2026-03-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"557,772",OESTE,185,PRESIDENTE PRUDENTE,REGENTE FEIJO,ALAGAMENTO,2026-03-24 00:00:00,2026-03-24 00:00:00,COM INTERDIÇÃO,"FAIXA 2, ACOSTAMENTO"
L28-ENTREVIAS,SP294,"457,500",LESTE,423009,MARÍLIA,MARILIA,EROSÃO,2026-03-24 00:00:00,2026-03-24 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L28-ENTREVIAS,SP333,"348,900",LESTE,423104,MARÍLIA,MARILIA,EROSÃO,2026-03-24 00:00:00,2026-03-24 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L19-VIARONDON,SP300,"381,900",OESTE,82,BAURU,PRESIDENTE ALVES,EROSÃO,2026-03-23 00:00:00,2026-03-23 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L26-SPSERRA,SP021,"142,000",EXTERNO,17,"REG, METROPOLITANA SÃO PAULO",GUARULHOS,EROSÃO,2026-03-22 00:00:00,2026-03-22 00:00:00,COM INTERDIÇÃO,FAIXA 3
L28-ENTREVIAS,SP333,"378,000",OESTE,422795,MARÍLIA,ECHAPORA,EROSÃO,2026-03-22 00:00:00,2026-04-01 00:00:00,COM INTERDIÇÃO,FAIXA 1
L35-VIARAPOSO,SP270,"255,900",LESTE,29,ITAPEVA,PARANAPANEMA,ALAGAMENTO,2026-03-21 00:00:00,2026-03-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"25,000",NORTE,290,REG. METROPOLITANA SÃO PAULO,SAO PAULO,EROSÃO,2026-03-20 00:00:00,2026-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"265,400",OESTE,51,ITAPEVA,PARANAPANEMA,ALAGAMENTO,2026-03-20 00:00:00,2026-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"273,600",OESTE,52,ITAPEVA,ITAI,ALAGAMENTO,2026-03-20 00:00:00,2026-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L35-VIARAPOSO,SP270,"277,226",LESTE,54,ITAPEVA,ITAI,ALAGAMENTO,2026-03-20 00:00:00,2026-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP215,"88,770",OESTE,2976,CENTRAL,PORTO FERREIRA,QUEDA DE TALUDE,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP215,"88,700",OESTE,3076,CENTRAL,PORTO FERREIRA,QUEDA DE TALUDE,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP350,"252,600",NORTE,95,CAMPINAS,ITOBI,ALAGAMENTO,2026-03-19 00:00:00,2026-03-19 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L19-VIARONDON,SP300,"506,100",OESTE,52,ARAÇATUBA,COROADOS,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L21-TIETÊ,SP300,"250,650",OESTE,23,SOROCABA,BOTUCATU,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"253,100",OESTE,30,SOROCABA,BOTUCATU,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP101,"35,500",OESTE,31,CAMPINAS,CAPIVARI,QUEDA DE TALUDE,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP308,"153,000",SUL,70,CAMPINAS,RIO DAS PEDRAS,ALAGAMENTO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP308,"150,000",SUL,73,CAMPINAS,RIO DAS PEDRAS,ALAGAMENTO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA032/101,"1,300",SUL,79,CAMPINAS,ELIAS FAUSTO,ALAGAMENTO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP101,"10,520",LESTE,108,CAMPINAS,HORTOLANDIA,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L25-SPMAR,SP021,"71,300",INTERNO,193,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"202,108",NORTE,4663,SOROCABA,SAO MANUEL,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"202,050",NORTE,4668,SOROCABA,SAO MANUEL,EROSÃO,2026-03-19 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP215,"43,500",LESTE,138,CAMPINAS,CASA BRANCA,ALAGAMENTO,2026-03-18 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"451,400",LESTE,64,BAURU,GUAICARA,EROSÃO,2026-03-18 00:00:00,2026-03-18 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SPA553/300,"1,500",NORTE,87,ARAÇATUBA,GUARARAPES,EROSÃO,2026-03-18 00:00:00,2026-03-18 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"437,000",LESTE,90,BAURU,LINS,ALAGAMENTO,2026-03-18 00:00:00,2026-03-18 00:00:00,COM INTERDIÇÃO,"FAIXA 1, FAIXA 2, ACOSTAMENTO"
L21-TIETÊ,SP101,"10,500",LESTE,64,CAMPINAS,HORTOLANDIA,EROSÃO,2026-03-18 00:00:00,2026-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA241/300,"4,500",NORTE,89,SOROCABA,BOTUCATU,ALAGAMENTO,2026-03-18 00:00:00,2026-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA241/300,"8,000",NORTE,95,SOROCABA,BOTUCATU,ALAGAMENTO,2026-03-18 00:00:00,2026-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"250,000",OESTE,101,SOROCABA,BOTUCATU,ALAGAMENTO,2026-03-18 00:00:00,2026-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L24-RODOANEL,SP021,"16,500",EXTERNO,91,REG. METROPOLITANA SÃO PAULO,CARAPICUIBA,ALAGAMENTO,2026-03-18 00:00:00,2026-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"201,000",NORTE,4285,SOROCABA,SAO MANUEL,ALAGAMENTO,2026-03-18 00:00:00,2026-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"176,248",NORTE,4382,BAURU,BARRA BONITA,QUEDA DE TALUDE,2026-03-18 00:00:00,2026-03-18 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L07-ROTA,SPI081/360,"8,200",OESTE,181,CAMPINAS,ITATIBA,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"229,300",LESTE,63,SOROCABA,BOTUCATU,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SP300,"230,600",LESTE,103,SOROCABA,BOTUCATU,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SP300,"229,500",OESTE,104,SOROCABA,BOTUCATU,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SP101,"50,700",OESTE,130,CAMPINAS,RAFARD,EROSÃO,2026-03-17 00:00:00,2026-03-18 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L23-LESTE PAULISTA,SP070,"11,200",LESTE,63,REG. METROPOLITANA SÃO PAULO,SAO PAULO,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"93,000",INTERNO,215,REG. METROPOLITANA SÃO PAULO,RIBEIRAO PIRES,EROSÃO,2026-03-17 00:00:00,2026-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SPA325/322,"7,000",LESTE,422206,RIBEIRÃO PRETO,RIBEIRAO PRETO,ALAGAMENTO,2026-03-17 00:00:00,2026-03-17 00:00:00,COM INTERDIÇÃO,"FAIXA 1, FAIXA 2, ACOSTAMENTO"
L07-ROTA,SP065,"35,000",SUL,27,SÃO JOSÉ DOS CAMPOS,IGARATA,QUEDA DE TALUDE,2026-03-16 00:00:00,2026-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP063,"4,900",LESTE,57,CAMPINAS,LOUVEIRA,QUEDA DE TALUDE,2026-03-16 00:00:00,2026-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP215,"94,705",LESTE,2306,CENTRAL,PORTO FERREIRA,EROSÃO,2026-03-15 00:00:00,2026-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"131,100",SUL,153,CAMPINAS,CAMPINAS,EROSÃO,2026-03-15 00:00:00,2026-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"93,000",INTERNO,43,REG. METROPOLITANA SÃO PAULO,RIBEIRAO PIRES,EROSÃO,2026-03-15 00:00:00,2026-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"20,000",NORTE,79,REG. METROPOLITANA SÃO PAULO,OSASCO,QUEDA DE TALUDE,2026-03-14 00:00:00,2026-03-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"594,891",LESTE,66,PRESIDENTE PRUDENTE,SANTO ANASTACIO,EROSÃO,2026-03-14 00:00:00,2026-03-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"586,796",LESTE,72,PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES,EROSÃO,2026-03-14 00:00:00,2026-03-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"377,000",OESTE,36,BAURU,AVAI,QUEDA DE TALUDE,2026-03-14 00:00:00,2026-03-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"76,000",EXTERNO,192,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,EROSÃO,2026-03-14 00:00:00,2026-03-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"20,050",NORTE,24,REG. METROPOLITANA SÃO PAULO,OSASCO,QUEDA DE TALUDE,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP063,"10,400",LESTE,18,CAMPINAS,ITATIBA,QUEDA DE TALUDE,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L11-RENOVIAS,SP342,"223,300",OESTE,84,CAMPINAS,SAO JOAO DA BOA VISTA,ALAGAMENTO,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"558,075",OESTE,3,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2026-03-13 00:00:00,2026-03-13 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L16-CART,SP270,"565,761",LESTE,192,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,EROSÃO,2026-03-13 00:00:00,2026-03-13 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L20-SPVIAS,SP280,"296,740",OESTE,7,SOROCABA,AGUAS DE SANTA BARBARA,QUEDA DE TALUDE,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SPA007/209,"16,000",OESTE,49,SOROCABA,PARDINHO,QUEDA DE TALUDE,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP101,"30,400",LESTE,56,CAMPINAS,MONTE MOR,EROSÃO,2026-03-13 00:00:00,2026-03-13 00:00:00,SEM INTERDIÇÃO,NENHUM
