CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L22-ECOVIAS IMIGRANTES,SP055,"291,000",OESTE,150,SANTOS,PRAIA GRANDE,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,COM INTERDIÇÃO,"FAIXA 3, ACOSTAMENTO"
L22-ECOVIAS IMIGRANTES,SP160,"65,000",SUL,157,SANTOS,SAO VICENTE,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"65,000",NORTE,158,SANTOS,SAO VICENTE,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"256,000",OESTE,194,SANTOS,SANTOS,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"68,000",SUL,221,SANTOS,SAO VICENTE,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP257,"3,400",SUL,8879,CENTRAL,AMERICO BRASILIENSE,ALAGAMENTO,2022-03-31 00:00:00,2022-03-31 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SP300,"497,000",LESTE,82,ARAÇATUBA,GLICERIO,EROSÃO,2022-03-30 00:00:00,2022-03-30 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L09-TRIÂNGULO,SP326,"341,500",NORTE,3622,RIBEIRÃO PRETO,JABOTICABAL,EROSÃO,2022-03-29 00:00:00,2022-03-29 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"59,000",NORTE,199,SANTOS,CUBATAO,ALAGAMENTO,2022-03-29 00:00:00,2022-03-29 00:00:00,SEM INTERDIÇÃO,NENHUM
L30-EIXOSP,SPA498/284,"1,700",LESTE,9730,MARÍLIA,QUATA,EROSÃO,2022-03-29 00:00:00,2022-03-29 00:00:00,SEM INTERDIÇÃO,NENHUM
