DATA,HORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2020-01-09,2020-01-09T06:00,0.0,7.9,13.3,3
2020-01-09,2020-01-09T06:00,0.0,8.4,16.9,3
2020-01-09,2020-01-09T10:00,0.2,8.7,19.4,51
2020-01-09,2020-01-09T12:00,0.2,6.2,25.6,51
2020-01-09,2020-01-09T13:00,0.4,6.4,23.8,51
2020-01-09,2020-01-09T15:00,0.2,5.4,20.5,51
2020-01-09,2020-01-09T17:00,0.0,6.1,25.2,3
2020-01-09,2020-01-09T17:00,1.3,6.2,19.4,61
2020-01-09,2020-01-09T18:00,1.1,3.8,24.1,55
2020-01-09,2020-01-09T18:00,0.8,3.6,25.9,53
2020-01-09,2020-01-09T19:00,0.0,4.5,13.7,3
2020-01-10,2020-01-10T02:00,0.0,4.9,10.1,3
2020-01-10,2020-01-10T05:00,0.0,2.9,6.1,3
2020-01-10,2020-01-10T08:00,0.0,7.2,17.3,3
