PERIODO,KM,severidade,risco_previsto
2025-05,15,1.0,2.360120704308871
2025-08,4,1.0,2.3597033610770364
2025-02,97,0.0,2.3579788824107744
2025-04,128,0.0,2.3555521876867442
2025-01,315,2.0,2.3547528733024774
2025-10,0,0.0,2.353146880881435
2025-12,15,17.0,2.349665850665874
2025-08,56,6.0,2.3425080651055934
2025-06,3,20.0,2.338558348230544
2025-12,21,0.0,2.33787702569126
2025-02,310,1.0,2.334541840692257
2025-05,120,1.0,2.3325117728202454
2025-08,11,0.0,2.3319055577168304
2025-01,15,17.0,2.3314529622070044
2025-07,15,1.0,2.3289222071425284
2025-09,64,0.0,2.328497679643438
2025-04,100,14.0,2.328331773293278
2025-10,64,0.0,2.3280546590123814
2025-09,112,1.0,2.324368074764338
2025-01,0,1.0,2.3230481487190304
2025-03,63,8.0,2.32261620109714
2025-06,5,0.0,2.321485243023863
2025-06,15,1.0,2.319861431242587
2025-06,317,10.0,2.314891403599441
2025-07,112,0.0,2.3125532869814545
2025-09,315,2.0,2.3081734640204137
2025-04,11,0.0,2.3075042441004037
2025-07,5,1.0,2.3070797958454174
2025-02,1,2.0,2.306649249730206
2025-06,112,3.0,2.306222156879745
2025-12,128,7.0,2.301822586905222
2025-08,114,6.0,2.3017472656075424
2025-02,41,1.0,2.298588373302646
2025-02,308,0.0,2.2981806872536708
2025-05,41,0.0,2.297083883548524
2025-11,311,5.0,2.2969359304763075
2025-06,57,0.0,2.2968491477040227
2025-10,5,0.0,2.296796512707425
2025-03,21,14.0,2.2957857181492263
2025-07,13,2.0,2.2946283910001437
2025-12,13,1.0,2.293978200998344
2025-02,0,0.0,2.2909255948496643
2025-02,313,0.0,2.290797057471446
2025-10,54,0.0,2.2883948060043706
2025-10,120,0.0,2.287134279138487
2025-10,112,5.0,2.287082013903228
2025-03,1,13.0,2.285415991977359
2025-03,317,0.0,2.2850085811908496
2025-08,84,1.0,2.2840591086750974
2025-11,312,2.0,2.283249898440998
2025-05,112,0.0,2.28085211790251
2025-04,59,2.0,2.276577000695021
2025-02,16,1.0,2.2734448442486475
2025-01,59,1.0,2.2724459488548043
2025-08,52,1.0,2.2705309720684985
2025-04,112,7.0,2.2691886566703947
2025-10,76,0.0,2.2667259194910074
2025-04,120,0.0,2.265895482515928
2025-09,5,1.0,2.265717757230733
2025-03,313,2.0,2.2605753916640623
2025-02,93,0.0,2.2590814393006236
2025-10,307,4.0,2.258802236305158
2025-06,85,0.0,2.257793811838232
2025-11,76,0.0,2.255666111468942
2025-12,64,1.0,2.2552190932817338
2025-10,38,4.0,2.2540123553131086
2025-12,2,0.0,2.252141726373106
2025-12,3,2.0,2.250940144287553
2025-06,309,0.0,2.2504594353419636
2025-11,94,0.0,2.2458268076903227
2025-10,315,0.0,2.2456749824013724
2025-09,312,0.0,2.244084435597241
2025-10,95,2.0,2.24304355634372
2025-09,311,1.0,2.2406479831163146
2025-01,36,2.0,2.2401116242789256
2025-10,16,0.0,2.2398141777908895
2025-07,76,2.0,2.238830552382653
2025-02,5,2.0,2.236812643839015
